Timestamp: 27 May 2021 , 12:47:59 PM  Avg. characters per second: 91.39  Time Taken: 2.20 s  characters: 201  line: 127
Timestamp: 27 May 2021 , 12:48:01 PM  Avg. characters per second: 129.18  Time Taken: 1.43 s  characters: 185  line: 128
Timestamp: 27 May 2021 , 12:48:02 PM  Avg. characters per second: 23.56  Time Taken: 1.78 s  characters: 42  line: 129
Timestamp: 27 May 2021 , 12:48:04 PM  Avg. characters per second: 76.60  Time Taken: 1.55 s  characters: 119  line: 130
Timestamp: 27 May 2021 , 12:48:06 PM  Avg. characters per second: 15.49  Time Taken: 1.94 s  characters: 30  line: 131
Timestamp: 27 May 2021 , 12:48:08 PM  Avg. characters per second: 16.14  Time Taken: 1.74 s  characters: 28  line: 132
Timestamp: 27 May 2021 , 12:48:09 PM  Avg. characters per second: 27.32  Time Taken: 1.50 s  characters: 41  line: 133
Timestamp: 27 May 2021 , 12:48:11 PM  Avg. characters per second: 35.64  Time Taken: 1.82 s  characters: 65  line: 134
Timestamp: 27 May 2021 , 12:48:12 PM  Avg. characters per second: 82.30  Time Taken: 1.36 s  characters: 112  line: 135
Timestamp: 27 May 2021 , 12:48:27 PM  Avg. characters per second: 5.77  Time Taken: 14.55 s  characters: 84  line: 136
Timestamp: 27 May 2021 , 12:48:29 PM  Avg. characters per second: 46.53  Time Taken: 2.00 s  characters: 93  line: 137
Timestamp: 27 May 2021 , 12:48:30 PM  Avg. characters per second: 91.95  Time Taken: 1.41 s  characters: 130  line: 138
Timestamp: 27 May 2021 , 12:48:32 PM  Avg. characters per second: 133.95  Time Taken: 1.38 s  characters: 185  line: 139
Timestamp: 27 May 2021 , 12:48:33 PM  Avg. characters per second: 79.65  Time Taken: 1.37 s  characters: 109  line: 140
Timestamp: 27 May 2021 , 12:48:36 PM  Avg. characters per second: 103.93  Time Taken: 3.35 s  characters: 348  line: 141
Timestamp: 27 May 2021 , 12:48:45 PM  Avg. characters per second: 34.39  Time Taken: 8.96 s  characters: 308  line: 142
Timestamp: 27 May 2021 , 12:48:54 PM  Avg. characters per second: 33.41  Time Taken: 8.92 s  characters: 298  line: 143
Timestamp: 27 May 2021 , 12:48:56 PM  Avg. characters per second: 75.83  Time Taken: 1.49 s  characters: 113  line: 144
Timestamp: 27 May 2021 , 12:48:57 PM  Avg. characters per second: 43.92  Time Taken: 1.39 s  characters: 61  line: 145
Timestamp: 27 May 2021 , 12:48:59 PM  Avg. characters per second: 29.78  Time Taken: 1.65 s  characters: 49  line: 146
Timestamp: 27 May 2021 , 12:49:00 PM  Avg. characters per second: 92.00  Time Taken: 1.53 s  characters: 141  line: 147
Timestamp: 27 May 2021 , 12:49:01 PM  Avg. characters per second: 23.97  Time Taken: 1.21 s  characters: 29  line: 148
Timestamp: 27 May 2021 , 12:49:03 PM  Avg. characters per second: 74.28  Time Taken: 1.59 s  characters: 118  line: 149
Timestamp: 27 May 2021 , 12:49:05 PM  Avg. characters per second: 70.97  Time Taken: 1.99 s  characters: 141  line: 150
Timestamp: 27 May 2021 , 12:49:07 PM  Avg. characters per second: 45.43  Time Taken: 2.00 s  characters: 91  line: 151
Timestamp: 27 May 2021 , 12:49:09 PM  Avg. characters per second: 23.80  Time Taken: 1.43 s  characters: 34  line: 152
Timestamp: 27 May 2021 , 12:49:10 PM  Avg. characters per second: 68.38  Time Taken: 1.43 s  characters: 98  line: 153
Timestamp: 27 May 2021 , 12:49:11 PM  Avg. characters per second: 66.08  Time Taken: 1.56 s  characters: 103  line: 154
Timestamp: 27 May 2021 , 12:49:13 PM  Avg. characters per second: 114.31  Time Taken: 1.49 s  characters: 170  line: 155
Timestamp: 27 May 2021 , 12:49:15 PM  Avg. characters per second: 99.56  Time Taken: 2.24 s  characters: 223  line: 156
Timestamp: 27 May 2021 , 12:49:17 PM  Avg. characters per second: 39.91  Time Taken: 2.00 s  characters: 80  line: 157
Timestamp: 27 May 2021 , 12:49:19 PM  Avg. characters per second: 53.62  Time Taken: 1.53 s  characters: 82  line: 158
Timestamp: 27 May 2021 , 12:49:20 PM  Avg. characters per second: 44.35  Time Taken: 1.42 s  characters: 63  line: 159
Timestamp: 27 May 2021 , 12:49:21 PM  Avg. characters per second: 45.72  Time Taken: 0.98 s  characters: 45  line: 160
Timestamp: 27 May 2021 , 12:49:22 PM  Avg. characters per second: 44.35  Time Taken: 1.29 s  characters: 57  line: 161
Timestamp: 27 May 2021 , 12:49:24 PM  Avg. characters per second: 28.95  Time Taken: 1.31 s  characters: 38  line: 162
Timestamp: 27 May 2021 , 12:49:27 PM  Avg. characters per second: 76.56  Time Taken: 3.21 s  characters: 246  line: 163
Timestamp: 27 May 2021 , 12:49:29 PM  Avg. characters per second: 85.94  Time Taken: 1.59 s  characters: 137  line: 164
Timestamp: 27 May 2021 , 12:49:30 PM  Avg. characters per second: 73.75  Time Taken: 1.44 s  characters: 106  line: 165
Timestamp: 27 May 2021 , 12:49:32 PM  Avg. characters per second: 107.48  Time Taken: 1.78 s  characters: 191  line: 166
